bvm_rank,fixture_player_id,source_row,player,team,position,ttl_fraction,season_baseline_fraction,season_vor_fraction,season_percentile_fraction,weekly_net_vor_fraction,weekly_percentile_fraction,bvm_value_fraction,bvm_value_decimal_50
1,FP2025:christian-mccaffrey:RB:0003,3,Christian McCaffrey,SF,RB,3569/10,566/5,2437/10,64850/649,2521/10,64850/649,64850/649,99.92295839753466872110939907550077041602465331278891
2,FP2025:jonathan-taylor:RB:0005,5,Jonathan Taylor,IND,RB,1672/5,566/5,1106/5,64750/649,1148/5,64750/649,64750/649,99.76887519260400616332819722650231124807395993836672
3,FP2025:bijan-robinson:RB:0008,8,Bijan Robinson,ATL,RB,651/2,566/5,2123/10,64650/649,2207/10,64650/649,64650/649,99.61479198767334360554699537750385208012326656394453
4,FP2025:jahmyr-gibbs:RB:0010,10,Jahmyr Gibbs,DET,RB,1548/5,566/5,982/5,64550/649,1024/5,64550/649,64550/649,99.46070878274268104776579352850539291217257318952234
5,FP2025:puka-nacua:WR:0016,16,Puka Nacua,LAR,WR,579/2,997/10,949/5,64450/649,188/1,64450/649,64450/649,99.30662557781201848998459167950693374422187981510015
6,FP2025:jaxon-smith-njigba:WR:0018,18,Jaxon Smith-Njigba,SEA,WR,289/1,997/10,1893/10,5850/59,375/2,5850/59,5850/59,99.15254237288135593220338983050847457627118644067797
7,FP2025:de-von-achane:RB:0017,17,De'Von Achane,MIA,RB,2893/10,566/5,1761/10,64250/649,369/2,64250/649,64250/649,98.99845916795069337442218798151001540832049306625578
8,FP2025:james-cook-iii:RB:0020,20,James Cook III,BUF,RB,1421/5,566/5,171/1,64150/649,897/5,64150/649,64150/649,98.84437596302003081664098613251155624036979969183359
9,FP2025:amon-ra-st-brown:WR:0023,23,Amon-Ra St. Brown,DET,WR,2461/10,997/10,732/5,64050/649,723/5,63950/649,5820/59,98.64406779661016949152542372881355932203389830508475
10,FP2025:derrick-henry:RB:0022,22,Derrick Henry,BAL,RB,1297/5,566/5,731/5,63950/649,773/5,64050/649,63980/649,98.58243451463790446841294298921417565485362095531587
11,FP2025:george-pickens:WR:0024,24,George Pickens,DAL,WR,244/1,997/10,1443/10,63850/649,285/2,63850/649,63850/649,98.38212634822804314329738058551617873651771956856703
12,FP2025:ja-marr-chase:WR:0031,31,Ja'Marr Chase,CIN,WR,463/2,997/10,659/5,63650/649,130/1,63650/649,63650/649,98.07395993836671802773497688751926040061633281972265
