position,positional_rank,ttl_2023,ttl_2024,ttl_2025,expected_points_fraction,expected_points_decimal_50,formula
QB,1,385.6,411.4,374.6,5858/15,390.53333333333333333333333333333333333333333333333,(ttl_2023+ttl_2024+ttl_2025)/3
QB,2,370.2,385.0,343.7,3663/10,366.3,(ttl_2023+ttl_2024+ttl_2025)/3
QB,3,338.2,367.8,331.7,3459/10,345.9,(ttl_2023+ttl_2024+ttl_2025)/3
QB,4,325.7,360.6,326.9,5066/15,337.73333333333333333333333333333333333333333333333,(ttl_2023+ttl_2024+ttl_2025)/3
QB,5,311.5,359.2,323.1,4969/15,331.26666666666666666666666666666666666666666666667,(ttl_2023+ttl_2024+ttl_2025)/3
QB,6,306.6,324.7,306.6,9379/30,312.63333333333333333333333333333333333333333333333,(ttl_2023+ttl_2024+ttl_2025)/3
QB,7,294.2,320.1,305.3,4598/15,306.53333333333333333333333333333333333333333333333,(ttl_2023+ttl_2024+ttl_2025)/3
QB,8,280.3,312.3,305.1,8977/30,299.23333333333333333333333333333333333333333333333,(ttl_2023+ttl_2024+ttl_2025)/3
QB,9,277.9,295.2,299.9,291/1,291.0,(ttl_2023+ttl_2024+ttl_2025)/3
QB,10,274.7,293.5,296.2,4322/15,288.13333333333333333333333333333333333333333333333,(ttl_2023+ttl_2024+ttl_2025)/3
QB,11,269.1,280.4,288.8,8383/30,279.43333333333333333333333333333333333333333333333,(ttl_2023+ttl_2024+ttl_2025)/3
QB,12,264.9,278.9,268.7,1625/6,270.83333333333333333333333333333333333333333333333,(ttl_2023+ttl_2024+ttl_2025)/3
QB,13,260.0,260.4,241.1,1523/6,253.83333333333333333333333333333333333333333333333,(ttl_2023+ttl_2024+ttl_2025)/3
QB,14,258.3,254.7,240.6,1256/5,251.2,(ttl_2023+ttl_2024+ttl_2025)/3
QB,15,254.1,249.6,234.4,7381/30,246.03333333333333333333333333333333333333333333333,(ttl_2023+ttl_2024+ttl_2025)/3
QB,16,240.7,242.1,226.2,709/3,236.33333333333333333333333333333333333333333333333,(ttl_2023+ttl_2024+ttl_2025)/3
QB,17,230.6,241.6,218.8,691/3,230.33333333333333333333333333333333333333333333333,(ttl_2023+ttl_2024+ttl_2025)/3
QB,18,222.0,226.4,215.8,1107/5,221.4,(ttl_2023+ttl_2024+ttl_2025)/3
QB,19,215.4,222.6,211.5,433/2,216.5,(ttl_2023+ttl_2024+ttl_2025)/3
QB,20,210.7,192.3,200.4,3017/15,201.13333333333333333333333333333333333333333333333,(ttl_2023+ttl_2024+ttl_2025)/3
