prc_player_id,source_system,source_player_id,source_display_name,source_position,source_team,mapping_method,mapping_status,first_seen_date
PRC-10fc751b-a6df-42ff-b4c1-9a94d1839820,espn,12483,Matthew Stafford,QB,LAR,fantasycalc_cross_id,approved,2026-07-18
PRC-64da5b19-d672-41f0-a912-1cc3b9b418fa,espn,15847,Travis Kelce,TE,KC,fantasycalc_cross_id,approved,2026-07-18
PRC-14b600dd-b986-4d2a-a071-eb215a298eeb,espn,16737,Mike Evans,WR,SF,fantasycalc_cross_id,approved,2026-07-18
PRC-96570418-6161-4ea6-832f-920282aada04,espn,16800,Davante Adams,WR,LAR,fantasycalc_cross_id,approved,2026-07-18
PRC-7410d21c-704a-41b8-9ddf-2eefd373dacf,espn,2577417,Dak Prescott,QB,DAL,fantasycalc_cross_id,approved,2026-07-18
PRC-69313218-0153-4590-a8f0-4b1b26f51bc2,espn,2976212,Stefon Diggs,WR,,fantasycalc_cross_id,approved,2026-07-18
PRC-7b412bf0-4677-4ea4-b153-02f439a8ebad,espn,3040151,George Kittle,TE,SF,fantasycalc_cross_id,approved,2026-07-18
PRC-58c518fc-f8e1-4150-86ad-f61f6ed070d2,espn,3042519,Aaron Jones,RB,MIN,fantasycalc_cross_id,approved,2026-07-18
PRC-09a316ba-a285-4388-ab90-95f30fbed7c6,espn,3043078,Derrick Henry,RB,BAL,fantasycalc_cross_id,approved,2026-07-18
PRC-e9c3d931-1431-48c4-a43f-61ab1eb3b1a4,espn,3045147,James Conner,RB,ARI,fantasycalc_cross_id,approved,2026-07-18
PRC-8abdb6a5-3f20-4700-bb78-de9fad110fa9,espn,3046439,Hunter Henry,TE,NE,fantasycalc_cross_id,approved,2026-07-18
PRC-99b81942-93ea-46fa-a60d-7a45786c6b0a,espn,3046779,Jared Goff,QB,DET,fantasycalc_cross_id,approved,2026-07-18
PRC-ef50d2a7-d93c-44a5-a8d5-e3b166db2d05,espn,3052587,Baker Mayfield,QB,TB,fantasycalc_cross_id,approved,2026-07-18
PRC-7126c65b-05a8-4c39-94be-15d37ecc22df,espn,3054850,Alvin Kamara,RB,NO,fantasycalc_cross_id,approved,2026-07-18
PRC-d4fa73a7-26d4-4256-8991-3f9faa5cb975,espn,3116165,Chris Godwin,WR,TB,fantasycalc_cross_id,approved,2026-07-18
PRC-060c5502-4b20-4e6a-9a7f-06247edb2fa5,espn,3116365,Mark Andrews,TE,BAL,fantasycalc_cross_id,approved,2026-07-18
PRC-15d62b13-fecd-40fa-b084-3cbaaa0149b5,espn,3116406,Tyreek Hill,WR,,fantasycalc_cross_id,approved,2026-07-18
PRC-93859a34-a0b3-4d48-aac0-f3da9b399f22,espn,3117251,Christian McCaffrey,RB,SF,fantasycalc_cross_id,approved,2026-07-18
PRC-a0d848df-50aa-4585-8bb5-0fcf820fe50f,espn,3117256,Dalton Schultz,TE,HOU,fantasycalc_cross_id,approved,2026-07-18
PRC-d391bb79-ea7c-424c-8d50-65a0fc1e0404,espn,3121023,Dallas Goedert,TE,PHI,fantasycalc_cross_id,approved,2026-07-18
PRC-b88bbe05-c333-49b7-a6f7-c69ab9370369,espn,3121422,Terry McLaurin,WR,WAS,fantasycalc_cross_id,approved,2026-07-18
PRC-6605ab5e-ff95-4bc3-b11c-450d48b42629,espn,3123076,David Njoku,TE,LAC,fantasycalc_cross_id,approved,2026-07-18
PRC-b5732ece-a11a-455f-8e78-9e2651eb91cf,espn,3126486,Deebo Samuel,WR,,fantasycalc_cross_id,approved,2026-07-18
PRC-2d741eee-e874-4e7d-8079-5fd17d7fcae6,espn,3128429,Courtland Sutton,WR,DEN,fantasycalc_cross_id,approved,2026-07-18
PRC-ddb78331-86ed-465f-8ac0-efa71a8826ea,espn,3139477,Patrick Mahomes,QB,KC,fantasycalc_cross_id,approved,2026-07-18
PRC-8c0a48c5-09ba-462b-826f-29fe91462b12,espn,3886598,Jauan Jennings,WR,MIN,fantasycalc_cross_id,approved,2026-07-18
PRC-d1aa6ece-c290-4a5b-ac91-b600d737816c,espn,3912547,Sam Darnold,QB,SEA,fantasycalc_cross_id,approved,2026-07-18
PRC-0c19194d-1b41-442f-ad76-e26353c42d27,espn,3915416,DJ Moore,WR,BUF,fantasycalc_cross_id,approved,2026-07-18
PRC-c93f8db3-ab33-497d-8dbb-1263f726847f,espn,3915511,Joe Burrow,QB,CIN,fantasycalc_cross_id,approved,2026-07-18
PRC-63f47330-f578-47f4-bd51-507ea4d41642,espn,3916148,Tony Pollard,RB,TEN,fantasycalc_cross_id,approved,2026-07-18
PRC-1008bf70-629f-4f76-9309-d8dcee430b4c,espn,3916387,Lamar Jackson,QB,BAL,fantasycalc_cross_id,approved,2026-07-18
PRC-d355d5b3-c493-4f03-8d8c-3ac72424884a,espn,3916433,Jakobi Meyers,WR,JAX,fantasycalc_cross_id,approved,2026-07-18
PRC-0c338dc2-c34b-4cdf-bd10-24c6d4931195,espn,3917315,Kyler Murray,QB,MIN,fantasycalc_cross_id,approved,2026-07-18
PRC-c8ddc44e-f26d-4822-926b-9a8fc24fef46,espn,3917792,Daniel Jones,QB,IND,fantasycalc_cross_id,approved,2026-07-18
PRC-97154f10-80a3-4e06-823e-d6bdb1ac00e6,espn,3918298,Josh Allen,QB,BUF,fantasycalc_cross_id,approved,2026-07-18
PRC-1fa7c902-7968-44be-9da8-5badbc814950,espn,3929630,Saquon Barkley,RB,PHI,fantasycalc_cross_id,approved,2026-07-18
PRC-22546847-369a-4554-bff0-dda897f2066a,espn,3929645,Juwan Johnson,TE,NO,fantasycalc_cross_id,approved,2026-07-18
PRC-4270f690-068b-4457-8b42-20ae0d913d24,espn,4032473,Rashid Shaheed,WR,SEA,fantasycalc_cross_id,approved,2026-07-18
PRC-e258ffa5-adcf-4e6d-8ae2-ca350aefb919,espn,4035538,David Montgomery,RB,HOU,fantasycalc_cross_id,approved,2026-07-18
PRC-e8712efe-7676-4efe-8130-3dc34dd0485f,espn,4035687,Michael Pittman,WR,PIT,fantasycalc_cross_id,approved,2026-07-18
PRC-f535daf6-01e8-4c06-a41f-094ec069e954,espn,4036133,T.J. Hockenson,TE,MIN,fantasycalc_cross_id,approved,2026-07-18
PRC-e33449e5-5739-46bb-90ea-035a83bf424e,espn,4036378,Jordan Love,QB,GB,fantasycalc_cross_id,approved,2026-07-18
PRC-b3d8e04c-84e4-47e8-96b5-fd2ac7e5809a,espn,4038815,Rico Dowdle,RB,PIT,fantasycalc_cross_id,approved,2026-07-18
PRC-517072b0-24c1-4358-8c7a-842d1bab89ac,espn,4038941,Justin Herbert,QB,LAC,fantasycalc_cross_id,approved,2026-07-18
PRC-949dce7a-8ae2-4058-a51e-0f409e4ee211,espn,4040715,Jalen Hurts,QB,PHI,fantasycalc_cross_id,approved,2026-07-18
PRC-3f67b1da-30e3-411f-a17b-cb7d56eb4ed0,espn,4047365,Josh Jacobs,RB,GB,fantasycalc_cross_id,approved,2026-07-18
PRC-a7f9e1b8-40d2-4e6c-aa02-8404394aa609,espn,4047646,A.J. Brown,WR,NE,fantasycalc_cross_id,approved,2026-07-18
PRC-afc82a2a-db25-4e44-9d5a-af468390954b,espn,4047650,DK Metcalf,WR,PIT,fantasycalc_cross_id,approved,2026-07-18
PRC-093bc7a1-c4d8-49f9-893b-9cd9881a0381,espn,4239993,Tee Higgins,WR,CIN,fantasycalc_cross_id,approved,2026-07-18
PRC-4b2d376e-2d2c-4e73-b1fd-80fb10c14c6d,espn,4239996,Travis Etienne,RB,NO,fantasycalc_cross_id,approved,2026-07-18
PRC-c46a8b44-a143-4a4f-ba98-a5a051d4dd29,espn,4241389,CeeDee Lamb,WR,DAL,fantasycalc_cross_id,approved,2026-07-18
PRC-c7bbcd92-ae09-4e69-b9c9-38b106d543e9,espn,4241416,Chuba Hubbard,RB,CAR,fantasycalc_cross_id,approved,2026-07-18
PRC-69396da1-b167-46c1-b037-228419af1e1e,espn,4241463,Jerry Jeudy,WR,CLE,fantasycalc_cross_id,approved,2026-07-18
PRC-b7cdfa1c-3604-42b9-a89c-adaa2ca1d599,espn,4241474,Brian Robinson,RB,ATL,fantasycalc_cross_id,approved,2026-07-18
PRC-14289f24-ef26-4948-a95f-21e91bc09d04,espn,4241478,DeVonta Smith,WR,PHI,fantasycalc_cross_id,approved,2026-07-18
PRC-5b34ca76-3596-4da3-ad64-10b9e9eb556b,espn,4241985,J.K. Dobbins,RB,DEN,fantasycalc_cross_id,approved,2026-07-18
PRC-8fd99950-d4bd-487c-80fa-ead3c4b8b781,espn,4242335,Jonathan Taylor,RB,IND,fantasycalc_cross_id,approved,2026-07-18
PRC-ed710f89-e324-443b-b5b8-63443089ad1e,espn,4242355,Jake Ferguson,TE,DAL,fantasycalc_cross_id,approved,2026-07-18
PRC-f96d76d4-d030-4e8f-95e4-a435de26cd49,espn,4242512,Malik Willis,QB,MIA,fantasycalc_cross_id,approved,2026-07-18
PRC-2ecccdba-763b-42c5-8bd0-2d36d20b244f,espn,4243331,Cade Otton,TE,TB,fantasycalc_cross_id,approved,2026-07-18
PRC-7db979d5-dfec-4722-9fc2-a7694b70e174,espn,4248528,Christian Watson,WR,GB,fantasycalc_cross_id,approved,2026-07-18
PRC-cb28f54f-1af5-4f22-a8b1-f1a752db2869,espn,4258173,Nico Collins,WR,HOU,fantasycalc_cross_id,approved,2026-07-18
PRC-a49cc040-b6ea-4217-ab91-0f2df0d8aa7c,espn,4259545,D'Andre Swift,RB,CHI,fantasycalc_cross_id,approved,2026-07-18
PRC-ac33eee8-345a-4fd5-950f-252c18094b23,espn,4262921,Justin Jefferson,WR,MIN,fantasycalc_cross_id,approved,2026-07-18
PRC-f1651d66-faaf-4908-b172-28f07cf6d14b,espn,4360078,Alec Pierce,WR,IND,fantasycalc_cross_id,approved,2026-07-18
PRC-5dc1d758-ea44-4fb0-a73b-75e3710e7bee,espn,4360248,Kyle Pitts,TE,ATL,fantasycalc_cross_id,approved,2026-07-18
PRC-00b8bd2f-806d-490a-b547-2d5e44f7dc5a,espn,4360310,Trevor Lawrence,QB,JAX,fantasycalc_cross_id,approved,2026-07-18
PRC-cd97fa54-d23c-46e7-a35b-1998a65f0f3e,espn,4360438,Brandon Aiyuk,WR,SF,fantasycalc_cross_id,approved,2026-07-18
PRC-8c4352ae-1bca-4a2a-a8fa-bfa8c4c821cc,espn,4360516,Tyrone Tracy,RB,NYG,fantasycalc_cross_id,approved,2026-07-18
PRC-7d4e12c2-b05a-482f-957b-07040a5b3646,espn,4360569,Jordan Mason,RB,MIN,fantasycalc_cross_id,approved,2026-07-18
